,dy=0,dy=1,dy=2,dy=3,dy=4,dy=5,dy=6,dy=7,dy=8,dy=9,dy=10,dy=11,dy=12,dy=13,dy=14,dy=15
dx=0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dx=1,0,0,0,4,2,0,2,0,2,0,0,2,0,0,2,2
dx=2,0,0,0,0,0,4,0,0,0,0,2,2,0,4,2,2
dx=3,0,4,0,2,2,0,0,0,0,0,2,0,0,2,4,0
dx=4,0,2,0,2,2,0,2,0,0,2,0,2,0,2,0,2
dx=5,0,0,4,0,0,2,0,2,2,0,2,4,0,0,0,0
dx=6,0,2,0,0,2,0,4,0,2,0,2,2,2,0,0,0
dx=7,0,0,0,0,0,2,0,2,2,2,0,0,2,0,4,2
dx=8,0,2,0,0,0,2,2,2,2,2,0,2,0,0,0,2
dx=9,0,0,0,0,2,0,0,2,2,0,0,2,2,2,2,2
dx=10,0,0,2,2,0,2,2,0,0,0,4,0,2,0,2,0
dx=11,0,2,2,0,2,4,2,0,2,2,0,0,0,0,0,0
dx=12,0,0,0,0,0,0,2,2,0,2,2,0,4,2,0,2
dx=13,0,0,4,2,2,0,0,0,0,2,0,0,2,2,0,2
dx=14,0,2,2,4,0,0,0,4,0,2,2,0,0,0,0,0
dx=15,0,2,2,0,2,0,0,2,2,2,0,0,2,2,0,0
